Random,CME,CMM
5.128217801392094,5.023847769677454,2.932287161744682
5.208319591029005,4.725387532981518,2.9496619393139873
4.6254981699878295,4.808377389182611,3.0489629930866666
4.888643248996926,5.052362236960576,3.0274707279128337
4.995470828015037,5.005435006382058,2.96327253263065
4.813569732208725,4.744574563917821,2.9926705429531206
4.898012869804472,4.877210732931283,2.984297219636523
5.445044381723734,5.25896838057838,2.937211109747632
4.965621006636761,5.179933220660461,3.0495898429448927
4.399067126343534,5.255161224903644,3.0425471506793853
4.511741882785395,5.141923626710263,3.0381458035532107
4.966334368360944,4.972585389769672,2.9655989540775116
4.929244509996818,4.8591035725992295,3.0084808259587636
4.643437473825277,5.108426166345617,2.9804841276488676
4.7500000000000195,5.10810147299512,2.9957446808510513
4.300522576957617,4.7768841348901585,2.976851473830341
4.933995594164253,5.364312731202364,2.986200590215662
4.336206542708162,4.975290399376042,2.955588392234111
4.708675118071105,5.062888391747484,2.9725743640732656
4.458547835756391,5.175033977183832,3.0063012231786854
5.364429611162484,4.7748200570991814,2.932687281354285
4.757153968968778,5.091005854177769,3.038850452368292
5.210629359220146,5.014479748745789,2.9989395113594606
4.8823036732739045,5.193395285765479,2.9625493558806846
4.821730482347156,5.299767942980347,3.008163434443924
4.830386245110838,4.852183833116049,3.044939700130356
6.218809034907558,4.962258726899347,2.9282956878850137
4.930545943085106,4.841591010869995,3.021536457273115
4.7839656290533705,4.925867380026127,2.9931906614787205
6.420944135229926,4.967429396000863,3.0306328592043146
4.417340991991973,4.72890025575448,2.897949771498053
4.778433847782772,5.150344097406083,2.963146964205783
5.1413825718633195,5.044577867335626,2.9629888555331854
6.331517927136331,4.839501588480546,2.9733052770558492
4.944873624989402,4.818330674279869,3.0509278696783486
5.0750588332438635,5.070765038602853,2.932083728995451
4.512552811179838,4.834294767630907,2.996587585310427
4.85711976072107,5.175942767066811,2.91160421971623
5.301478675302524,4.771966271538618,3.0222004969652922
5.7144126676361475,5.14089513653257,2.9883260623687415
5.285197675836012,4.741213278615248,2.9373450895940727
4.892116692616607,5.257354748832298,2.9588625747767203
5.466268949454486,4.9659216279164795,2.9727454746046664
5.048036365125543,4.81911626192723,3.0518039231746
4.758302889405592,5.089795748920721,3.080122882763261
5.0312123403229245,4.888326504378528,2.983530167911908
4.815927904416296,4.824735962158029,2.965868776250909
4.546910755148728,5.052182085648885,2.9966900948022426
4.996129873304342,4.945370106326708,2.900517374832013
5.457034471383815,4.930562427841009,2.9256968497443503
5.019536574284359,5.340382470777705,3.0351493122960407
5.477368961973191,4.753874614593972,3.008674203494311
4.766387502013241,4.925913995812565,2.9631583185698456
4.813539337263646,4.938768042285008,2.9514535474689727
5.446914793432461,5.120214551856884,3.0238709413257827
5.542010880515617,5.036469877090288,3.006326818456469
4.5003825862833535,5.053119085014774,3.0008457170472878
5.228454725603645,4.902980547579613,3.0037610708942015
5.075315682281069,5.036334012219959,2.9781670061099708
5.571280906309349,4.89001901926727,2.890639212767686
4.669978014819714,4.905219444670703,2.9973129224005044
4.607450802425812,5.061182392012841,2.9448822146128033
5.598653985653296,5.357056500362741,2.9863786572097
5.2003382977845405,5.340443087586096,2.959239242542994
4.89885860514241,4.779032454608268,2.991713717047834
4.579707206293781,5.3146112981060565,2.984184273490364
5.624371648793588,5.106694034852563,2.9454172252010564
4.957013574660614,5.408473879062092,2.981283422459887
4.981826973445606,4.875569166297283,2.9003908611032476
4.824250570218425,4.953812316715689,3.0318507657218188
5.1260088947454925,4.969897875144089,3.0319551968373886
4.912856853614139,4.868880340149885,2.9882567321320335
4.370594691272699,4.975041664972952,2.9930084142921087
5.408577602022031,4.909005666761731,3.0006522891271246
4.456409840716497,5.085721233737219,3.043813075021247
4.458573472307335,4.7947271612507425,2.952667075413808
4.978035061789278,5.049800878597582,3.0048856591534974
5.458954919703217,4.951006766120428,2.9889133447460114
4.6601123595504,5.224352711284633,3.0468164794006296
5.004910315721138,4.85196006817629,3.0082379676974402
5.133311510290875,5.065919227464251,2.990752485780866
5.233001726547754,5.001027706980207,2.9656334785825824
4.225383993532706,4.876232821341943,3.036822958771212
4.438583057951209,4.681510437656231,2.968364632868598
5.02986725663725,5.123238282530406,3.016715830875178
4.884955041746979,4.9077151573539215,3.0517019910084198
5.106682056144169,5.104085081825339,2.985489921266336
4.708589964687595,5.1629711751663665,3.0771947113411184
5.618514248064544,4.810986657881698,2.9569263712732288
5.57118388320219,5.005056890012667,3.0386199584030043
5.085881294964015,4.847040549378663,2.877943100065374
4.488303615246033,4.984745624079662,2.9970145591361503
