Random,CME,CMM
1.7711111111111102,1.2955555555555551,1.355555555555555
1.9076620825147355,1.4950884086444012,1.4361493123772102
2.133204633204633,1.4247104247104243,1.4826254826254823
1.9282700421940928,1.4789029535864984,1.5126582278481016
1.9238095238095234,1.4038095238095234,1.4057142857142852
2.1231617647058822,1.4852941176470582,1.4393382352941175
2.2588932806324107,1.5434782608695645,1.513833992094861
1.9237918215613383,1.3940520446096658,1.4832713754646842
1.9323308270676687,1.406015037593985,1.3609022556390984
2.611854684512428,1.4015296367112813,1.5296367112810705
1.844262295081967,1.3647540983606556,1.3934426229508197
1.947747747747748,1.3747747747747752,1.405405405405406
1.913761467889908,1.3816513761467883,1.363302752293578
2.180124223602485,1.4140786749482401,1.4140786749482401
1.939453125,1.439453125,1.390625
2.062111801242236,1.5900621118012415,1.4306418219461694
2.0828729281767946,1.3535911602209934,1.4125230202578256
2.0621572212065815,1.4734917733089583,1.4643510054844606
2.318897637795274,1.328740157480314,1.4055118110236209
1.7600896860986555,1.437219730941705,1.4641255605381174
2.0313199105145414,1.351230425055928,1.380313199105145
1.5783664459161155,1.3951434878587197,1.4172185430463582
1.760626398210291,1.4340044742729305,1.4720357941834452
1.6427184466019413,1.5592233009708734,1.3747572815533975
1.8376237623762384,1.401980198019803,1.5247524752475257
1.664835164835164,1.3882783882783876,1.3589743589743577
1.7999999999999996,1.4622222222222223,1.4577777777777778
2.104208416833667,1.3727454909819643,1.4128256513026054
1.8662280701754386,1.4495614035087712,1.3618421052631575
1.905950095969291,1.5009596928982727,1.516314779270634
1.8028747433264882,1.3716632443531822,1.4763860369609854
2.386965376782077,1.560081466395112,1.509164969450101
2.1081593927893736,1.4705882352941182,1.442125237191651
1.8081936685288642,1.4860335195530732,1.4525139664804478
1.7238938053097344,1.4477876106194691,1.3044247787610617
2.1156862745098026,1.5078431372549015,1.478431372549018
2.1176470588235285,1.596638655462184,1.5168067226890747
2.151898734177215,1.3354430379746838,1.3227848101265824
1.529069767441862,1.5135658914728698,1.467054263565893
2.963302752293578,1.4220183486238533,1.4385321100917434
1.9052631578947363,1.5199999999999991,1.4505263157894732
