Random,CME,CMM
1.3416666666666666,1.0416666666666667,1.0416666666666667
1.1774891774891776,1.0865800865800865,1.1125541125541125
1.7237354085603114,1.0700389105058365,1.0622568093385214
1.2428115015974441,1.0063897763578276,1.0287539936102237
1.4668989547038327,1.0557491289198606,1.0731707317073171
1.4336917562724014,1.032258064516129,1.028673835125448
1.9437229437229437,1.0,1.0
1.2612612612612613,1.009009009009009,1.018018018018018
1.8566176470588236,1.0404411764705883,1.0
1.6299212598425197,1.0,1.0
1.3862815884476534,1.1155234657039712,1.0830324909747293
1.6541353383458646,1.0488721804511278,1.0075187969924813
1.1704545454545454,1.053030303030303,1.0151515151515151
1.537190082644628,1.024793388429752,1.103305785123967
1.3496503496503496,1.0769230769230769,1.0
1.2121212121212122,1.121212121212121,1.121212121212121
1.5857740585774058,1.0,1.112970711297071
1.2674418604651163,1.0,1.0387596899224807
1.3203883495145632,1.0032362459546926,1.029126213592233
1.4754098360655739,1.0,1.0
1.2687074829931972,1.0374149659863945,1.0442176870748299
1.220472440944882,1.0905511811023623,1.0826771653543308
1.4324324324324325,1.0,1.0
1.457142857142857,1.0,1.0
1.6873065015479876,1.0464396284829722,1.0557275541795665
1.376271186440678,1.0949152542372882,1.0169491525423728
1.2575757575757576,1.0212121212121212,1.0
1.2217194570135748,1.0452488687782806,1.1493212669683257
1.188612099644128,1.099644128113879,1.0569395017793595
1.4776119402985075,1.0559701492537314,1.0746268656716418
1.3009708737864079,1.0388349514563107,1.0194174757281553
1.3779264214046822,1.0936454849498327,1.0234113712374582
1.2874617737003058,1.055045871559633,1.073394495412844
1.281954887218045,1.0,1.0
1.3955223880597014,1.0671641791044777,1.0634328358208955
1.521551724137931,1.0387931034482758,1.0086206896551724
1.4375,1.0,1.0
1.2751479289940828,1.029585798816568,1.029585798816568
1.3607038123167154,1.067448680351906,1.1114369501466275
1.9018867924528302,1.0867924528301887,1.0
1.42578125,1.03515625,1.03125
2.0892193308550184,1.0,1.0
